Unnamed: 0,transcript_id,question_addressee,justice,question_text,opening_statement,year
13881,1996.96-79-t01,petitioner,Clarence Thomas,"One, would you explain for us what happened to the lump sum that was alienated, or that was distributed?","<speaker>Marian M. Livaudais</speaker><text>Mr. Chief Justice, and may it please the Court: ERISA is a comprehensive Federal program designed to ensure that employees and their beneficiaries receive their retirement benefits. It is also designed to be applied uniformly throughout the country so that employees in other parts... all parts of the country are treated equally. How does ERISA accomplish this goal? By preemption. Additionally, Congress has created a list of statutory beneficiaries who are entitled to receive benefits under these retirement plans. Only ERISA-designated statutory beneficiaries are included in the list, and only those beneficiaries are permitted to receive benefits.</text>",1996
13882,1996.96-79-t01,petitioner,Clarence Thomas,"Now, did he have options to... was the money given to him, and did he then put it in an IRA, or was it within the terms of the plan?","<speaker>Marian M. Livaudais</speaker><text>Mr. Chief Justice, and may it please the Court: ERISA is a comprehensive Federal program designed to ensure that employees and their beneficiaries receive their retirement benefits. It is also designed to be applied uniformly throughout the country so that employees in other parts... all parts of the country are treated equally. How does ERISA accomplish this goal? By preemption. Additionally, Congress has created a list of statutory beneficiaries who are entitled to receive benefits under these retirement plans. Only ERISA-designated statutory beneficiaries are included in the list, and only those beneficiaries are permitted to receive benefits.</text>",1996
13883,1996.96-79-t01,petitioner,Clarence Thomas,"Okay. One other question. Let's say that Isaac, that his wife pre... she passed away in 1979, that he was quite grieved, and did not remarry, and assume that the gift that Justice O'Connor spoke about was made to the kids, or it was passed on as it was in this case, but Isaac did not remarry. What would the children get in those circumstances?","<speaker>Marian M. Livaudais</speaker><text>Mr. Chief Justice, and may it please the Court: ERISA is a comprehensive Federal program designed to ensure that employees and their beneficiaries receive their retirement benefits. It is also designed to be applied uniformly throughout the country so that employees in other parts... all parts of the country are treated equally. How does ERISA accomplish this goal? By preemption. Additionally, Congress has created a list of statutory beneficiaries who are entitled to receive benefits under these retirement plans. Only ERISA-designated statutory beneficiaries are included in the list, and only those beneficiaries are permitted to receive benefits.</text>",1996
13884,1996.96-79-t01,petitioner,Clarence Thomas,"So the $150,000 you treat separately. Let's say that's... we have to assume that went to a bank account or something. Is that accurate? So the lump... there's a difference between the lump sum and the stock as opposed to the survivor's annuity.","<speaker>Marian M. Livaudais</speaker><text>Mr. Chief Justice, and may it please the Court: ERISA is a comprehensive Federal program designed to ensure that employees and their beneficiaries receive their retirement benefits. It is also designed to be applied uniformly throughout the country so that employees in other parts... all parts of the country are treated equally. How does ERISA accomplish this goal? By preemption. Additionally, Congress has created a list of statutory beneficiaries who are entitled to receive benefits under these retirement plans. Only ERISA-designated statutory beneficiaries are included in the list, and only those beneficiaries are permitted to receive benefits.</text>",1996
13885,1996.96-79-t01,petitioner,Clarence Thomas,"Mr. Wolfson, I'm sorry to interrupt you. Do you have a better argument for the lump sum than you do for the annuity?","<speaker>Marian M. Livaudais</speaker><text>Mr. Chief Justice, and may it please the Court: ERISA is a comprehensive Federal program designed to ensure that employees and their beneficiaries receive their retirement benefits. It is also designed to be applied uniformly throughout the country so that employees in other parts... all parts of the country are treated equally. How does ERISA accomplish this goal? By preemption. Additionally, Congress has created a list of statutory beneficiaries who are entitled to receive benefits under these retirement plans. Only ERISA-designated statutory beneficiaries are included in the list, and only those beneficiaries are permitted to receive benefits.</text>",1996
13886,1996.96-79-t01,petitioner,Clarence Thomas,But do you have a better argument for the lump sum than the annuity?,"<speaker>Marian M. Livaudais</speaker><text>Mr. Chief Justice, and may it please the Court: ERISA is a comprehensive Federal program designed to ensure that employees and their beneficiaries receive their retirement benefits. It is also designed to be applied uniformly throughout the country so that employees in other parts... all parts of the country are treated equally. How does ERISA accomplish this goal? By preemption. Additionally, Congress has created a list of statutory beneficiaries who are entitled to receive benefits under these retirement plans. Only ERISA-designated statutory beneficiaries are included in the list, and only those beneficiaries are permitted to receive benefits.</text>",1996
13887,1996.96-79-t01,petitioner,Clarence Thomas,"Well, I think where you're losing me... I'm sorry to interrupt, but where you're losing me is, if he had not remarried, what is there to give away?","<speaker>Marian M. Livaudais</speaker><text>Mr. Chief Justice, and may it please the Court: ERISA is a comprehensive Federal program designed to ensure that employees and their beneficiaries receive their retirement benefits. It is also designed to be applied uniformly throughout the country so that employees in other parts... all parts of the country are treated equally. How does ERISA accomplish this goal? By preemption. Additionally, Congress has created a list of statutory beneficiaries who are entitled to receive benefits under these retirement plans. Only ERISA-designated statutory beneficiaries are included in the list, and only those beneficiaries are permitted to receive benefits.</text>",1996
13888,1996.96-79-t01,petitioner,Clarence Thomas,"And he decided to... for the few years he was single, he was so grieved, he was so full of grief that he gambled a lot. Now, what is it in the estate that they get more of? I don't understand... I just don't understand your argument.","<speaker>Marian M. Livaudais</speaker><text>Mr. Chief Justice, and may it please the Court: ERISA is a comprehensive Federal program designed to ensure that employees and their beneficiaries receive their retirement benefits. It is also designed to be applied uniformly throughout the country so that employees in other parts... all parts of the country are treated equally. How does ERISA accomplish this goal? By preemption. Additionally, Congress has created a list of statutory beneficiaries who are entitled to receive benefits under these retirement plans. Only ERISA-designated statutory beneficiaries are included in the list, and only those beneficiaries are permitted to receive benefits.</text>",1996
13889,1996.96-79-t01,petitioner,Clarence Thomas,"That he... there is no annuity. The only annuity available is for the survivor benefits. There is no survivor because he never rem rried, so what is it for the children to get?","<speaker>Marian M. Livaudais</speaker><text>Mr. Chief Justice, and may it please the Court: ERISA is a comprehensive Federal program designed to ensure that employees and their beneficiaries receive their retirement benefits. It is also designed to be applied uniformly throughout the country so that employees in other parts... all parts of the country are treated equally. How does ERISA accomplish this goal? By preemption. Additionally, Congress has created a list of statutory beneficiaries who are entitled to receive benefits under these retirement plans. Only ERISA-designated statutory beneficiaries are included in the list, and only those beneficiaries are permitted to receive benefits.</text>",1996
35875,1996.95-1376-t01,petitioner,Clarence Thomas,"Mr. Butler... Mr. Butler, may I ask you one question?","<speaker>Allen M. Lenchek</speaker><text>Mr. Chief Justice, and if it please the Court: This case presents the question: Does the provision of Title VII of the 1964 Civil Rights Act that prohibits retaliation against, quote, employees, unquote, for filing charges of discrimination or otherwise availing themselves of their rights under Title VII... namely Section 704(a)... does that section cover former employees, employees such as Petitioner, Charles Robinson, who were discharged prior to the alleged retaliation? In this case, after Charles Robinson was terminated by Shell Oil, he filed a charge of discrimination against Shell under Title VII, and subsequently, Shell gave him a negative job reference. He then brought the present action, alleging that that negative reference was made in retaliation for his earlier charge of discrimination. The Fourth Circuit held that Charles Robinson was not even entitled to have the court determine whether that reference was retaliatory, because he was not employed by Shell at the time of the reference. If Shell had given him that reference the day before he was terminated, everyone agrees, he would have had that right to a judicial determination.</text>",1996
35876,1996.95-1376-t01,petitioner,Clarence Thomas,How often do you give references in discharge cases?,"<speaker>Allen M. Lenchek</speaker><text>Mr. Chief Justice, and if it please the Court: This case presents the question: Does the provision of Title VII of the 1964 Civil Rights Act that prohibits retaliation against, quote, employees, unquote, for filing charges of discrimination or otherwise availing themselves of their rights under Title VII... namely Section 704(a)... does that section cover former employees, employees such as Petitioner, Charles Robinson, who were discharged prior to the alleged retaliation? In this case, after Charles Robinson was terminated by Shell Oil, he filed a charge of discrimination against Shell under Title VII, and subsequently, Shell gave him a negative job reference. He then brought the present action, alleging that that negative reference was made in retaliation for his earlier charge of discrimination. The Fourth Circuit held that Charles Robinson was not even entitled to have the court determine whether that reference was retaliatory, because he was not employed by Shell at the time of the reference. If Shell had given him that reference the day before he was terminated, everyone agrees, he would have had that right to a judicial determination.</text>",1996
