Unnamed: 0,transcript_id,question_addressee,justice,question_text,opening_statement,year,label
107,2020.19-1414-t01,petitioner,"John G. Roberts, Jr.","I understand that as an alternative theory, and -- and, you know, we can -- we can talk about that. But you -- you say Montana applies to legislative and civil and regulatory. On what basis would you suggest that executive power, such as is being exercised here, is subject to a different rule than legislative and judicial power?","<speaker>Eric J. Feigin</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court: Indian tribes, like other sovereigns, have the core inherent authority to investigate and detain suspects within their borders for the violation of another sovereign's law. Every single source that this Court looks to in assessing inherent tribal authority confirms that limited ability. The executive has entered into numerous treaties that presuppose it, Congress has ratified those treaties and passed affirmative legislation that reflects it, courts have repeatedly upheld it, and on-the-ground law enforcement practice has long depended on it. The Ninth Circuit's decision here upsets all of those understandings. Its tribal sovereignty analysis would logically suggest that tribes are reduced to no more than private citizens in policing rights-of-way and non-Indian land on their reservations. And I think that's the position Respondent's taking. But even the Ninth Circuit realized how untenable that would be, so it created a novel, complicated, and ultimately unworkable law enforcement regime. The decision below replaces familiar Fourth Amendment standards codified in the Indian Civil Rights Act with an unprecedented standard that nobody is going to know how to apply, officers or courts. It will also force tribal officers to curtail otherwise reasonable policing activities when a suspect claims to be non-Indian or the officer isn't sure about Indian status or the status of the land that he's on. The holding lacks any meaningful support, substantially chills tribes' ability even to enforce their own laws against their own members, and endangers everyone on Indian reservations. It should be reversed.</text>",2020,coherent
108,2020.19-1414-t01,petitioner,Clarence Thomas,"Thank you, Mr. Chief Justice. Mr. Feigin, the -- the Ninth Circuit analogized the police officer here to a private citizen. And if we accept that, that the police officer is actually a private citizen here, then why does the statute, the Indian Civil Rights Act, even apply?","<speaker>Eric J. Feigin</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court: Indian tribes, like other sovereigns, have the core inherent authority to investigate and detain suspects within their borders for the violation of another sovereign's law. Every single source that this Court looks to in assessing inherent tribal authority confirms that limited ability. The executive has entered into numerous treaties that presuppose it, Congress has ratified those treaties and passed affirmative legislation that reflects it, courts have repeatedly upheld it, and on-the-ground law enforcement practice has long depended on it. The Ninth Circuit's decision here upsets all of those understandings. Its tribal sovereignty analysis would logically suggest that tribes are reduced to no more than private citizens in policing rights-of-way and non-Indian land on their reservations. And I think that's the position Respondent's taking. But even the Ninth Circuit realized how untenable that would be, so it created a novel, complicated, and ultimately unworkable law enforcement regime. The decision below replaces familiar Fourth Amendment standards codified in the Indian Civil Rights Act with an unprecedented standard that nobody is going to know how to apply, officers or courts. It will also force tribal officers to curtail otherwise reasonable policing activities when a suspect claims to be non-Indian or the officer isn't sure about Indian status or the status of the land that he's on. The holding lacks any meaningful support, substantially chills tribes' ability even to enforce their own laws against their own members, and endangers everyone on Indian reservations. It should be reversed.</text>",2020,coherent
109,2020.19-1414-t01,petitioner,Clarence Thomas,"So, if we -- if -- if we find that -- that the officer here was within his jurisdiction to engage in this stop, do we have to -- should we ultimately reverse here, or should we send it back to have it analyzed to determine whether or not Terry is satisfied?","<speaker>Eric J. Feigin</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court: Indian tribes, like other sovereigns, have the core inherent authority to investigate and detain suspects within their borders for the violation of another sovereign's law. Every single source that this Court looks to in assessing inherent tribal authority confirms that limited ability. The executive has entered into numerous treaties that presuppose it, Congress has ratified those treaties and passed affirmative legislation that reflects it, courts have repeatedly upheld it, and on-the-ground law enforcement practice has long depended on it. The Ninth Circuit's decision here upsets all of those understandings. Its tribal sovereignty analysis would logically suggest that tribes are reduced to no more than private citizens in policing rights-of-way and non-Indian land on their reservations. And I think that's the position Respondent's taking. But even the Ninth Circuit realized how untenable that would be, so it created a novel, complicated, and ultimately unworkable law enforcement regime. The decision below replaces familiar Fourth Amendment standards codified in the Indian Civil Rights Act with an unprecedented standard that nobody is going to know how to apply, officers or courts. It will also force tribal officers to curtail otherwise reasonable policing activities when a suspect claims to be non-Indian or the officer isn't sure about Indian status or the status of the land that he's on. The holding lacks any meaningful support, substantially chills tribes' ability even to enforce their own laws against their own members, and endangers everyone on Indian reservations. It should be reversed.</text>",2020,coherent
110,2020.19-1414-t01,petitioner,Clarence Thomas,"Do you, in your discussion with the Chief Justice with respect to Montana, do you think that -- you know, Lara was decided after that and it seemed to undercut Montana. Could you discuss that just a bit?","<speaker>Eric J. Feigin</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court: Indian tribes, like other sovereigns, have the core inherent authority to investigate and detain suspects within their borders for the violation of another sovereign's law. Every single source that this Court looks to in assessing inherent tribal authority confirms that limited ability. The executive has entered into numerous treaties that presuppose it, Congress has ratified those treaties and passed affirmative legislation that reflects it, courts have repeatedly upheld it, and on-the-ground law enforcement practice has long depended on it. The Ninth Circuit's decision here upsets all of those understandings. Its tribal sovereignty analysis would logically suggest that tribes are reduced to no more than private citizens in policing rights-of-way and non-Indian land on their reservations. And I think that's the position Respondent's taking. But even the Ninth Circuit realized how untenable that would be, so it created a novel, complicated, and ultimately unworkable law enforcement regime. The decision below replaces familiar Fourth Amendment standards codified in the Indian Civil Rights Act with an unprecedented standard that nobody is going to know how to apply, officers or courts. It will also force tribal officers to curtail otherwise reasonable policing activities when a suspect claims to be non-Indian or the officer isn't sure about Indian status or the status of the land that he's on. The holding lacks any meaningful support, substantially chills tribes' ability even to enforce their own laws against their own members, and endangers everyone on Indian reservations. It should be reversed.</text>",2020,incoherent
111,2020.19-1414-t01,petitioner,"Samuel A. Alito, Jr.","Mr. Feigin, do you think you could offer us a general test for distinguishing between those aspects of sovereignty that tribes retained and those that they did not? So, if you -- if I gave you this partial sentence, I wonder if you could complete it: Tribes retain those aspects of sovereignty that -- fill in the rest.","<speaker>Eric J. Feigin</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court: Indian tribes, like other sovereigns, have the core inherent authority to investigate and detain suspects within their borders for the violation of another sovereign's law. Every single source that this Court looks to in assessing inherent tribal authority confirms that limited ability. The executive has entered into numerous treaties that presuppose it, Congress has ratified those treaties and passed affirmative legislation that reflects it, courts have repeatedly upheld it, and on-the-ground law enforcement practice has long depended on it. The Ninth Circuit's decision here upsets all of those understandings. Its tribal sovereignty analysis would logically suggest that tribes are reduced to no more than private citizens in policing rights-of-way and non-Indian land on their reservations. And I think that's the position Respondent's taking. But even the Ninth Circuit realized how untenable that would be, so it created a novel, complicated, and ultimately unworkable law enforcement regime. The decision below replaces familiar Fourth Amendment standards codified in the Indian Civil Rights Act with an unprecedented standard that nobody is going to know how to apply, officers or courts. It will also force tribal officers to curtail otherwise reasonable policing activities when a suspect claims to be non-Indian or the officer isn't sure about Indian status or the status of the land that he's on. The holding lacks any meaningful support, substantially chills tribes' ability even to enforce their own laws against their own members, and endangers everyone on Indian reservations. It should be reversed.</text>",2020,coherent
112,2020.19-1414-t01,petitioner,"Samuel A. Alito, Jr.","Does the authority you claim the tribes retain go further than simply detaining a non-Indian on reasonable suspicion? I think you -- you just said in answer to Justice Breyer that a tribal officer could not actually make an arrest. Could the -- could the officer make a -- the kind of search incident to arrest that would otherwise be possible? For example, if a non-Indian was in the car -- in a car, could the officer search areas of the car that the person could grab and might have -- where there might be a weapon hidden?","<speaker>Eric J. Feigin</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court: Indian tribes, like other sovereigns, have the core inherent authority to investigate and detain suspects within their borders for the violation of another sovereign's law. Every single source that this Court looks to in assessing inherent tribal authority confirms that limited ability. The executive has entered into numerous treaties that presuppose it, Congress has ratified those treaties and passed affirmative legislation that reflects it, courts have repeatedly upheld it, and on-the-ground law enforcement practice has long depended on it. The Ninth Circuit's decision here upsets all of those understandings. Its tribal sovereignty analysis would logically suggest that tribes are reduced to no more than private citizens in policing rights-of-way and non-Indian land on their reservations. And I think that's the position Respondent's taking. But even the Ninth Circuit realized how untenable that would be, so it created a novel, complicated, and ultimately unworkable law enforcement regime. The decision below replaces familiar Fourth Amendment standards codified in the Indian Civil Rights Act with an unprecedented standard that nobody is going to know how to apply, officers or courts. It will also force tribal officers to curtail otherwise reasonable policing activities when a suspect claims to be non-Indian or the officer isn't sure about Indian status or the status of the land that he's on. The holding lacks any meaningful support, substantially chills tribes' ability even to enforce their own laws against their own members, and endangers everyone on Indian reservations. It should be reversed.</text>",2020,coherent
113,2020.19-1414-t01,petitioner,"Samuel A. Alito, Jr.","Well, suppose a -- suppose a tribal officer is -- is -- is not -- is not stopping a car on the highway but is driving around the reservation and sees through the window of a house owned by a non-Indian on a parcel of land that this individual owns and see that there is drugs in plain view. Could -- what can the officer do under those circumstances?","<speaker>Eric J. Feigin</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court: Indian tribes, like other sovereigns, have the core inherent authority to investigate and detain suspects within their borders for the violation of another sovereign's law. Every single source that this Court looks to in assessing inherent tribal authority confirms that limited ability. The executive has entered into numerous treaties that presuppose it, Congress has ratified those treaties and passed affirmative legislation that reflects it, courts have repeatedly upheld it, and on-the-ground law enforcement practice has long depended on it. The Ninth Circuit's decision here upsets all of those understandings. Its tribal sovereignty analysis would logically suggest that tribes are reduced to no more than private citizens in policing rights-of-way and non-Indian land on their reservations. And I think that's the position Respondent's taking. But even the Ninth Circuit realized how untenable that would be, so it created a novel, complicated, and ultimately unworkable law enforcement regime. The decision below replaces familiar Fourth Amendment standards codified in the Indian Civil Rights Act with an unprecedented standard that nobody is going to know how to apply, officers or courts. It will also force tribal officers to curtail otherwise reasonable policing activities when a suspect claims to be non-Indian or the officer isn't sure about Indian status or the status of the land that he's on. The holding lacks any meaningful support, substantially chills tribes' ability even to enforce their own laws against their own members, and endangers everyone on Indian reservations. It should be reversed.</text>",2020,coherent
114,2020.19-1414-t01,petitioner,Sonia Sotomayor,"Mr. Feigin, basically, you -- in your briefs, you've argued that this Court should look to whether the exercise of tribal sovereignty would be consistent with the overriding interests of the federal government. I'm not quite sure what that has to do with much. Shouldn't we be looking at what rights the Indians, the tribal Indians, have been given? And, here, it seems to me that inherent in a detention-and-hold right is the right to investigation. The Ninth Circuit basically said that they can investigate to find out if someone's an Indian or not. And if they're an Indian, presumably, they would have all the rights of further investigation. But I don't know why the Ninth Circuit's limited view of what the right of detention means should control us.","<speaker>Eric J. Feigin</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court: Indian tribes, like other sovereigns, have the core inherent authority to investigate and detain suspects within their borders for the violation of another sovereign's law. Every single source that this Court looks to in assessing inherent tribal authority confirms that limited ability. The executive has entered into numerous treaties that presuppose it, Congress has ratified those treaties and passed affirmative legislation that reflects it, courts have repeatedly upheld it, and on-the-ground law enforcement practice has long depended on it. The Ninth Circuit's decision here upsets all of those understandings. Its tribal sovereignty analysis would logically suggest that tribes are reduced to no more than private citizens in policing rights-of-way and non-Indian land on their reservations. And I think that's the position Respondent's taking. But even the Ninth Circuit realized how untenable that would be, so it created a novel, complicated, and ultimately unworkable law enforcement regime. The decision below replaces familiar Fourth Amendment standards codified in the Indian Civil Rights Act with an unprecedented standard that nobody is going to know how to apply, officers or courts. It will also force tribal officers to curtail otherwise reasonable policing activities when a suspect claims to be non-Indian or the officer isn't sure about Indian status or the status of the land that he's on. The holding lacks any meaningful support, substantially chills tribes' ability even to enforce their own laws against their own members, and endangers everyone on Indian reservations. It should be reversed.</text>",2020,coherent
115,2020.19-1414-t01,petitioner,Sonia Sotomayor,"And -- and -- and isn't that a simpler argument than all the arguments that -- about sovereignty that everyone's been having? If it's a contractual right the Indians have been given, there's no constitutional violation in just being held for the police to determine whether or not you're guilty of a crime sufficient to be arrested. Why can't we just go in -- on that simple basis?","<speaker>Eric J. Feigin</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court: Indian tribes, like other sovereigns, have the core inherent authority to investigate and detain suspects within their borders for the violation of another sovereign's law. Every single source that this Court looks to in assessing inherent tribal authority confirms that limited ability. The executive has entered into numerous treaties that presuppose it, Congress has ratified those treaties and passed affirmative legislation that reflects it, courts have repeatedly upheld it, and on-the-ground law enforcement practice has long depended on it. The Ninth Circuit's decision here upsets all of those understandings. Its tribal sovereignty analysis would logically suggest that tribes are reduced to no more than private citizens in policing rights-of-way and non-Indian land on their reservations. And I think that's the position Respondent's taking. But even the Ninth Circuit realized how untenable that would be, so it created a novel, complicated, and ultimately unworkable law enforcement regime. The decision below replaces familiar Fourth Amendment standards codified in the Indian Civil Rights Act with an unprecedented standard that nobody is going to know how to apply, officers or courts. It will also force tribal officers to curtail otherwise reasonable policing activities when a suspect claims to be non-Indian or the officer isn't sure about Indian status or the status of the land that he's on. The holding lacks any meaningful support, substantially chills tribes' ability even to enforce their own laws against their own members, and endangers everyone on Indian reservations. It should be reversed.</text>",2020,coherent
116,2020.19-1414-t01,petitioner,Sonia Sotomayor,"So, if one of my colleagues thinks that Montana controls, you lose?","<speaker>Eric J. Feigin</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court: Indian tribes, like other sovereigns, have the core inherent authority to investigate and detain suspects within their borders for the violation of another sovereign's law. Every single source that this Court looks to in assessing inherent tribal authority confirms that limited ability. The executive has entered into numerous treaties that presuppose it, Congress has ratified those treaties and passed affirmative legislation that reflects it, courts have repeatedly upheld it, and on-the-ground law enforcement practice has long depended on it. The Ninth Circuit's decision here upsets all of those understandings. Its tribal sovereignty analysis would logically suggest that tribes are reduced to no more than private citizens in policing rights-of-way and non-Indian land on their reservations. And I think that's the position Respondent's taking. But even the Ninth Circuit realized how untenable that would be, so it created a novel, complicated, and ultimately unworkable law enforcement regime. The decision below replaces familiar Fourth Amendment standards codified in the Indian Civil Rights Act with an unprecedented standard that nobody is going to know how to apply, officers or courts. It will also force tribal officers to curtail otherwise reasonable policing activities when a suspect claims to be non-Indian or the officer isn't sure about Indian status or the status of the land that he's on. The holding lacks any meaningful support, substantially chills tribes' ability even to enforce their own laws against their own members, and endangers everyone on Indian reservations. It should be reversed.</text>",2020,incoherent
