Unnamed: 0,transcript_id,question_addressee,justice,question_text,opening_statement,year,label,skill_labels_raw
8906,2022.22-58-t01,petitioner,"Samuel A. Alito, Jr.","Well, I don't understand the states' argument to depend on the proposition that the executive must detain everybody even if it doesn't have the capacity to detain them. I understood their argument to be centered on something quite different. So let's just assume for the sake of argument that there isn't an issue about how many people you were going to detain but only a question about which ones you were going to detain. And the -- the problem that I see with your final memorandum is that Congress has established its own set of priorities and has said that certain categories of aliens must be detained, shall be detained. And the final memorandum says -- tells ICE officers don't do that. Don't detain anybody based solely on that person's criminal history. You must make a totality-of-the-circumstances decision about every single alien whom -- who you're considering for detention. Isn't that correct?","<speaker>Elizabeth B. Prelogar</speaker><text>Mr. Chief Justice, and may it please the Court: There are more than 11 million removable non-citizens in this country, and DHS has about 6,000 interior enforcement officers. To focus the agency's limited resources on threats to public safety, national security, and border security, DHS adopted enforcement priorities. But the district court issued a sweeping ruling vacating the guidelines nationwide. This Court should reverse. First, the states lack standing. They argue states can challenge any federal policy that imposes even one dollar of indirect harms on their own taxing or spending. That theory has no limiting principle. It's incompatible with our constitutional structure, and it contradicts more than 200 years of history and tradition where states could not sue the United States on this basis. Federal courts should not now be transformed into open forums for each and every policy dispute between the states and the national government. On the merits, the INA does not create an unyielding mandate to apprehend and remove every non-citizen described in provisions that use the term ""shall."" This Court has repeatedly held that the word ""shall"" does not displace background principles of enforcement discretion. Across 25 years and five presidential administrations, the agency has never implemented the INA in the manner that Respondents suggest. Given congressional funding choices, it would be impossible for DHS to do so. Adopting Respondents' reading would not lead to more immigration enforcement. Instead, it would just deprive the Secretary of his statutory authority to set priorities to protect the nation's security and borders. Finally, as to remedies, the APA did not create a novel remedy of universal vacatur, and the INA specifically bars that remedy. Section 1252(f)(1) prohibits the lower courts from granting coercive relief against the operation of the covered INA provisions, and vacatur is plainly coercive. I welcome the Court's questions.</text>",2022,coherent,"{
    ""property"": ""clarifying_statutory_interpretation_and_agency_discretion"",
    ""reasoning"": ""The question aims to clarify the respondent's interpretation of the statute, specifically how it relates to Congress's established priorities and the agency's discretion in detaining certain categories of aliens. The questioner is trying to understand the respondent's position on the limits of agency discretion and how it intersects with congressional directives.""
}"
8907,2022.22-58-t01,petitioner,Ketanji Brown Jackson,"And so, therefore, it's sort of analogous to mandatory pretrial detention statutes, where Congress says, if you as a prosecutor determine that you're going to go after somebody, you're going to prosecute them in the criminal realm, there are certain people you have to detain during the prosecution. There are certain -- you know, people who have been convicted of certain crimes. We have statutes where Congress says those people have to be detained. But that doesn't speak to the antecedent determination of whether or not to prosecute those people. I think the problem that I'm seeing with the state's argument is that they appear to be conflating Congress's mandates with respect to detention and Congress's statements with respect to removal and that the idea of 1226 -- 1226(c) is that once the determination has been made pursuant to prosecutorial discretion that you're going to remove someone, if those people fall into the particular criminal alien categories, they have to be detained for the purpose of that removal. Am I reading that correctly?","<speaker>Elizabeth B. Prelogar</speaker><text>Mr. Chief Justice, and may it please the Court: There are more than 11 million removable non-citizens in this country, and DHS has about 6,000 interior enforcement officers. To focus the agency's limited resources on threats to public safety, national security, and border security, DHS adopted enforcement priorities. But the district court issued a sweeping ruling vacating the guidelines nationwide. This Court should reverse. First, the states lack standing. They argue states can challenge any federal policy that imposes even one dollar of indirect harms on their own taxing or spending. That theory has no limiting principle. It's incompatible with our constitutional structure, and it contradicts more than 200 years of history and tradition where states could not sue the United States on this basis. Federal courts should not now be transformed into open forums for each and every policy dispute between the states and the national government. On the merits, the INA does not create an unyielding mandate to apprehend and remove every non-citizen described in provisions that use the term ""shall."" This Court has repeatedly held that the word ""shall"" does not displace background principles of enforcement discretion. Across 25 years and five presidential administrations, the agency has never implemented the INA in the manner that Respondents suggest. Given congressional funding choices, it would be impossible for DHS to do so. Adopting Respondents' reading would not lead to more immigration enforcement. Instead, it would just deprive the Secretary of his statutory authority to set priorities to protect the nation's security and borders. Finally, as to remedies, the APA did not create a novel remedy of universal vacatur, and the INA specifically bars that remedy. Section 1252(f)(1) prohibits the lower courts from granting coercive relief against the operation of the covered INA provisions, and vacatur is plainly coercive. I welcome the Court's questions.</text>",2022,coherent,"{
  ""property"": ""clarifying_statutory_interpretation"",
  ""reasoning"": ""The question seeks to understand and clarify the interpretation of the INA statute, specifically the distinction between the mandatory language in certain provisions and the exercise of prosecutorial discretion in deciding whether to pursue removal. The questioner is attempting to ensure that they correctly understand the relationship between the statute's mandates and the agency's discretion.""
}"
8909,2022.22-58-t01,petitioner,Elena Kagan,"Well, is that true -- I -- I -- I guess your stronger argument is where their removal proceedings have not been initiated. But how about, are there some circumstances in which there are pending removal proceedings so that 1226 kicks in, but you haven't apprehended the person? And are you then saying that you don't have an obligation to apprehend the person even while removal -- even once you've initiated a removal proceeding? Has that ever happened? Is that your argument? Why is it your argument?","<speaker>Elizabeth B. Prelogar</speaker><text>Mr. Chief Justice, and may it please the Court: There are more than 11 million removable non-citizens in this country, and DHS has about 6,000 interior enforcement officers. To focus the agency's limited resources on threats to public safety, national security, and border security, DHS adopted enforcement priorities. But the district court issued a sweeping ruling vacating the guidelines nationwide. This Court should reverse. First, the states lack standing. They argue states can challenge any federal policy that imposes even one dollar of indirect harms on their own taxing or spending. That theory has no limiting principle. It's incompatible with our constitutional structure, and it contradicts more than 200 years of history and tradition where states could not sue the United States on this basis. Federal courts should not now be transformed into open forums for each and every policy dispute between the states and the national government. On the merits, the INA does not create an unyielding mandate to apprehend and remove every non-citizen described in provisions that use the term ""shall."" This Court has repeatedly held that the word ""shall"" does not displace background principles of enforcement discretion. Across 25 years and five presidential administrations, the agency has never implemented the INA in the manner that Respondents suggest. Given congressional funding choices, it would be impossible for DHS to do so. Adopting Respondents' reading would not lead to more immigration enforcement. Instead, it would just deprive the Secretary of his statutory authority to set priorities to protect the nation's security and borders. Finally, as to remedies, the APA did not create a novel remedy of universal vacatur, and the INA specifically bars that remedy. Section 1252(f)(1) prohibits the lower courts from granting coercive relief against the operation of the covered INA provisions, and vacatur is plainly coercive. I welcome the Court's questions.</text>",2022,coherent,"{
    ""property"": ""clarifying_agency_discretion_boundaries"",
    ""reasoning"": ""The question seeks to understand the limits of the agency's discretion, specifically in situations where removal proceedings have been initiated but the person has not been apprehended, and whether the agency is obligated to apprehend the person in such cases.""
}"
8910,2022.22-58-t01,petitioner,Sonia Sotomayor,"Answer that question which is the one Justice Kagan did. If someone is in removal proceedings, you know it, can you release them?","<speaker>Elizabeth B. Prelogar</speaker><text>Mr. Chief Justice, and may it please the Court: There are more than 11 million removable non-citizens in this country, and DHS has about 6,000 interior enforcement officers. To focus the agency's limited resources on threats to public safety, national security, and border security, DHS adopted enforcement priorities. But the district court issued a sweeping ruling vacating the guidelines nationwide. This Court should reverse. First, the states lack standing. They argue states can challenge any federal policy that imposes even one dollar of indirect harms on their own taxing or spending. That theory has no limiting principle. It's incompatible with our constitutional structure, and it contradicts more than 200 years of history and tradition where states could not sue the United States on this basis. Federal courts should not now be transformed into open forums for each and every policy dispute between the states and the national government. On the merits, the INA does not create an unyielding mandate to apprehend and remove every non-citizen described in provisions that use the term ""shall."" This Court has repeatedly held that the word ""shall"" does not displace background principles of enforcement discretion. Across 25 years and five presidential administrations, the agency has never implemented the INA in the manner that Respondents suggest. Given congressional funding choices, it would be impossible for DHS to do so. Adopting Respondents' reading would not lead to more immigration enforcement. Instead, it would just deprive the Secretary of his statutory authority to set priorities to protect the nation's security and borders. Finally, as to remedies, the APA did not create a novel remedy of universal vacatur, and the INA specifically bars that remedy. Section 1252(f)(1) prohibits the lower courts from granting coercive relief against the operation of the covered INA provisions, and vacatur is plainly coercive. I welcome the Court's questions.</text>",2022,coherent,"{
    ""property"": ""clarifying_agency_discretion_in_specific_scenario"",
    ""reasoning"": ""The question seeks to clarify the scope of the agency's discretion in a specific situation, namely whether someone in removal proceedings can be released, which helps to understand the practical implications of the agency's enforcement priorities.""
}"
8911,2022.22-58-t01,petitioner,"John G. Roberts, Jr.","Counsel, maybe we can move on to individual questions now, and I'm sure that some of it'll deal with remedy, which is the one area -- area we haven't addressed yet. And, in that area, your -- your position on vacatur, that sounded to me to be fairly radical and inconsistent with, for example, you know, with those of us who were on the D.C. Circuit, you know, five times before breakfast, that's what you do in an APA case. And all of a sudden you're telling us that, no, you can't vacate it, you do something different. Are you overturning that whole established practice under the APA?","<speaker>Elizabeth B. Prelogar</speaker><text>Mr. Chief Justice, and may it please the Court: There are more than 11 million removable non-citizens in this country, and DHS has about 6,000 interior enforcement officers. To focus the agency's limited resources on threats to public safety, national security, and border security, DHS adopted enforcement priorities. But the district court issued a sweeping ruling vacating the guidelines nationwide. This Court should reverse. First, the states lack standing. They argue states can challenge any federal policy that imposes even one dollar of indirect harms on their own taxing or spending. That theory has no limiting principle. It's incompatible with our constitutional structure, and it contradicts more than 200 years of history and tradition where states could not sue the United States on this basis. Federal courts should not now be transformed into open forums for each and every policy dispute between the states and the national government. On the merits, the INA does not create an unyielding mandate to apprehend and remove every non-citizen described in provisions that use the term ""shall."" This Court has repeatedly held that the word ""shall"" does not displace background principles of enforcement discretion. Across 25 years and five presidential administrations, the agency has never implemented the INA in the manner that Respondents suggest. Given congressional funding choices, it would be impossible for DHS to do so. Adopting Respondents' reading would not lead to more immigration enforcement. Instead, it would just deprive the Secretary of his statutory authority to set priorities to protect the nation's security and borders. Finally, as to remedies, the APA did not create a novel remedy of universal vacatur, and the INA specifically bars that remedy. Section 1252(f)(1) prohibits the lower courts from granting coercive relief against the operation of the covered INA provisions, and vacatur is plainly coercive. I welcome the Court's questions.</text>",2022,coherent,"{
    ""property"": ""challenging_radical_departure_from_established_precedent"",
    ""reasoning"": ""The question expresses surprise at counsel's position on vacatur, implying it's a significant departure from established practice under the APA, and seeks clarification on whether counsel is advocating for a drastic change to this precedent.""
}"
8913,2022.22-58-t01,petitioner,"Samuel A. Alito, Jr.","Well, I want to come back to the last question that I asked you and break it down, and I hope you can give me a succinct answer to these questions that I'm going to ask. If ""shall"" means ""shall,"" is there a -- well, let me amend that. Does the statute say that an alien who has been convicted of an aggravated felony shall be detained?","<speaker>Elizabeth B. Prelogar</speaker><text>Mr. Chief Justice, and may it please the Court: There are more than 11 million removable non-citizens in this country, and DHS has about 6,000 interior enforcement officers. To focus the agency's limited resources on threats to public safety, national security, and border security, DHS adopted enforcement priorities. But the district court issued a sweeping ruling vacating the guidelines nationwide. This Court should reverse. First, the states lack standing. They argue states can challenge any federal policy that imposes even one dollar of indirect harms on their own taxing or spending. That theory has no limiting principle. It's incompatible with our constitutional structure, and it contradicts more than 200 years of history and tradition where states could not sue the United States on this basis. Federal courts should not now be transformed into open forums for each and every policy dispute between the states and the national government. On the merits, the INA does not create an unyielding mandate to apprehend and remove every non-citizen described in provisions that use the term ""shall."" This Court has repeatedly held that the word ""shall"" does not displace background principles of enforcement discretion. Across 25 years and five presidential administrations, the agency has never implemented the INA in the manner that Respondents suggest. Given congressional funding choices, it would be impossible for DHS to do so. Adopting Respondents' reading would not lead to more immigration enforcement. Instead, it would just deprive the Secretary of his statutory authority to set priorities to protect the nation's security and borders. Finally, as to remedies, the APA did not create a novel remedy of universal vacatur, and the INA specifically bars that remedy. Section 1252(f)(1) prohibits the lower courts from granting coercive relief against the operation of the covered INA provisions, and vacatur is plainly coercive. I welcome the Court's questions.</text>",2022,coherent,"{
    ""property"": ""clarifying_statutory_language"",
    ""reasoning"": ""The question is seeking to understand the specific meaning of the term 'shall' in the context of the statute, particularly with regards to the detention of aliens convicted of aggravated felonies, in order to clarify the respondent's argument.""
}"
8914,2022.22-58-t01,petitioner,"Samuel A. Alito, Jr.","All right. And I'm looking at the final memorandum, pages 114 to 115 of the Joint Appendix, where you set out certain aggravating factors, which includes a serious prior criminal record, the gravity of the offense of conviction and the sentence imposed, and then a list of mitigating factors, advanced or tender age, mental condition, various others, military or public service. And then you say on 115: ""Our personnel should not rely on the fact of conviction or the result of the database search alone."" Now that's what I was getting at. Congress has set out certain priorities. With respect to an alien convicted of an aggravated felony, it says that person shall be detained. And what your final memorandum says is no, that person shall not be detained based solely on this prior conviction for an aggravated felony. You have to take into account that as one of the aggravating factors and then all of these mitigating factors and then the officer must make a determination. So we have one set of priorities established by Congress and a different set of priorities established by the executive branch. Isn't that correct?","<speaker>Elizabeth B. Prelogar</speaker><text>Mr. Chief Justice, and may it please the Court: There are more than 11 million removable non-citizens in this country, and DHS has about 6,000 interior enforcement officers. To focus the agency's limited resources on threats to public safety, national security, and border security, DHS adopted enforcement priorities. But the district court issued a sweeping ruling vacating the guidelines nationwide. This Court should reverse. First, the states lack standing. They argue states can challenge any federal policy that imposes even one dollar of indirect harms on their own taxing or spending. That theory has no limiting principle. It's incompatible with our constitutional structure, and it contradicts more than 200 years of history and tradition where states could not sue the United States on this basis. Federal courts should not now be transformed into open forums for each and every policy dispute between the states and the national government. On the merits, the INA does not create an unyielding mandate to apprehend and remove every non-citizen described in provisions that use the term ""shall."" This Court has repeatedly held that the word ""shall"" does not displace background principles of enforcement discretion. Across 25 years and five presidential administrations, the agency has never implemented the INA in the manner that Respondents suggest. Given congressional funding choices, it would be impossible for DHS to do so. Adopting Respondents' reading would not lead to more immigration enforcement. Instead, it would just deprive the Secretary of his statutory authority to set priorities to protect the nation's security and borders. Finally, as to remedies, the APA did not create a novel remedy of universal vacatur, and the INA specifically bars that remedy. Section 1252(f)(1) prohibits the lower courts from granting coercive relief against the operation of the covered INA provisions, and vacatur is plainly coercive. I welcome the Court's questions.</text>",2022,coherent,"{
    ""property"": ""clarifying_agency_discretion_versus_congressional_directives"",
    ""reasoning"": ""The question is trying to understand how the agency's priorities and guidelines, as outlined in the final memorandum, interact with the priorities established by Congress. The Justice is attempting to clarify whether the agency's approach to prioritizing enforcement actions is consistent with or diverges from the directives set by Congress, particularly in regards to aggravated felonies.""
}"
8918,2022.22-58-t01,petitioner,Sonia Sotomayor,"So that at any point in this process, you're saying the Guidelines -- we're focusing in on the Guidelines as making the determination of whether to detain, you're saying, no, you're making a determination as to whether to remove or not, correct?","<speaker>Elizabeth B. Prelogar</speaker><text>Mr. Chief Justice, and may it please the Court: There are more than 11 million removable non-citizens in this country, and DHS has about 6,000 interior enforcement officers. To focus the agency's limited resources on threats to public safety, national security, and border security, DHS adopted enforcement priorities. But the district court issued a sweeping ruling vacating the guidelines nationwide. This Court should reverse. First, the states lack standing. They argue states can challenge any federal policy that imposes even one dollar of indirect harms on their own taxing or spending. That theory has no limiting principle. It's incompatible with our constitutional structure, and it contradicts more than 200 years of history and tradition where states could not sue the United States on this basis. Federal courts should not now be transformed into open forums for each and every policy dispute between the states and the national government. On the merits, the INA does not create an unyielding mandate to apprehend and remove every non-citizen described in provisions that use the term ""shall."" This Court has repeatedly held that the word ""shall"" does not displace background principles of enforcement discretion. Across 25 years and five presidential administrations, the agency has never implemented the INA in the manner that Respondents suggest. Given congressional funding choices, it would be impossible for DHS to do so. Adopting Respondents' reading would not lead to more immigration enforcement. Instead, it would just deprive the Secretary of his statutory authority to set priorities to protect the nation's security and borders. Finally, as to remedies, the APA did not create a novel remedy of universal vacatur, and the INA specifically bars that remedy. Section 1252(f)(1) prohibits the lower courts from granting coercive relief against the operation of the covered INA provisions, and vacatur is plainly coercive. I welcome the Court's questions.</text>",2022,coherent,"{
    ""property"": ""clarifying_agency_discretion"",
    ""reasoning"": ""The question seeks to understand the specific role of the Guidelines in the process, particularly whether they determine detention or removal, in order to clarify the scope of agency discretion.""
}"
8920,2022.22-58-t01,petitioner,Neil Gorsuch,"We haven't had a chance to discuss 1252 much, and I'd like your thoughts on that. In particular, if we were to agree with you on that, do we have to address your standing arguments, let alone the merits?","<speaker>Elizabeth B. Prelogar</speaker><text>Mr. Chief Justice, and may it please the Court: There are more than 11 million removable non-citizens in this country, and DHS has about 6,000 interior enforcement officers. To focus the agency's limited resources on threats to public safety, national security, and border security, DHS adopted enforcement priorities. But the district court issued a sweeping ruling vacating the guidelines nationwide. This Court should reverse. First, the states lack standing. They argue states can challenge any federal policy that imposes even one dollar of indirect harms on their own taxing or spending. That theory has no limiting principle. It's incompatible with our constitutional structure, and it contradicts more than 200 years of history and tradition where states could not sue the United States on this basis. Federal courts should not now be transformed into open forums for each and every policy dispute between the states and the national government. On the merits, the INA does not create an unyielding mandate to apprehend and remove every non-citizen described in provisions that use the term ""shall."" This Court has repeatedly held that the word ""shall"" does not displace background principles of enforcement discretion. Across 25 years and five presidential administrations, the agency has never implemented the INA in the manner that Respondents suggest. Given congressional funding choices, it would be impossible for DHS to do so. Adopting Respondents' reading would not lead to more immigration enforcement. Instead, it would just deprive the Secretary of his statutory authority to set priorities to protect the nation's security and borders. Finally, as to remedies, the APA did not create a novel remedy of universal vacatur, and the INA specifically bars that remedy. Section 1252(f)(1) prohibits the lower courts from granting coercive relief against the operation of the covered INA provisions, and vacatur is plainly coercive. I welcome the Court's questions.</text>",2022,coherent,"{
    ""property"": ""clarifying_remedy_implications_on_other_arguments"",
    ""reasoning"": ""The question seeks to understand how the court's decision on the remedy under Section 1252(f)(1) might impact the need to address the standing arguments and the merits of the case, effectively probing the logical sequence of the court's potential holdings.""
}"
8921,2022.22-58-t01,petitioner,Neil Gorsuch,"Is it jurisdictional, though? We've had some question about that last term, as you'll recall, as well and whether it's just a remedial -- a limitation on remedial options for the district court or whether it is truly a jurisdictional statute.","<speaker>Elizabeth B. Prelogar</speaker><text>Mr. Chief Justice, and may it please the Court: There are more than 11 million removable non-citizens in this country, and DHS has about 6,000 interior enforcement officers. To focus the agency's limited resources on threats to public safety, national security, and border security, DHS adopted enforcement priorities. But the district court issued a sweeping ruling vacating the guidelines nationwide. This Court should reverse. First, the states lack standing. They argue states can challenge any federal policy that imposes even one dollar of indirect harms on their own taxing or spending. That theory has no limiting principle. It's incompatible with our constitutional structure, and it contradicts more than 200 years of history and tradition where states could not sue the United States on this basis. Federal courts should not now be transformed into open forums for each and every policy dispute between the states and the national government. On the merits, the INA does not create an unyielding mandate to apprehend and remove every non-citizen described in provisions that use the term ""shall."" This Court has repeatedly held that the word ""shall"" does not displace background principles of enforcement discretion. Across 25 years and five presidential administrations, the agency has never implemented the INA in the manner that Respondents suggest. Given congressional funding choices, it would be impossible for DHS to do so. Adopting Respondents' reading would not lead to more immigration enforcement. Instead, it would just deprive the Secretary of his statutory authority to set priorities to protect the nation's security and borders. Finally, as to remedies, the APA did not create a novel remedy of universal vacatur, and the INA specifically bars that remedy. Section 1252(f)(1) prohibits the lower courts from granting coercive relief against the operation of the covered INA provisions, and vacatur is plainly coercive. I welcome the Court's questions.</text>",2022,coherent,"{
    ""property"": ""clarifying_statutory_interpretation_of_jurisdictional_limitations"",
    ""reasoning"": ""The question aims to understand the nature of the statutory limitation in the INA, specifically whether it is a jurisdictional limitation or a remedial limitation, and seeks clarification on its implications for the court's authority to review the case.""
}"
